Time;Price (cent/kWh)
24/12/2023 5.59;3,747
24/12/2023 6.59;3,967
24/12/2023 7.59;5,327
24/12/2023 8.59;6,429
24/12/2023 9.59;6,685
24/12/2023 10.59;6,819
24/12/2023 11.59;6,686
24/12/2023 12.59;6,537
24/12/2023 13.59;6,317
24/12/2023 14.59;6,195
24/12/2023 15.59;6,147
24/12/2023 16.59;5,76
24/12/2023 17.59;4,904
24/12/2023 18.59;4,432
24/12/2023 19.59;4,025
24/12/2023 20.59;3,719
24/12/2023 21.59;3,719
24/12/2023 22.59;3,594
24/12/2023 23.59;2,926
25/12/2023 0.59;4,166
25/12/2023 1.59;4,18
25/12/2023 2.59;3,921
25/12/2023 3.59;3,72
25/12/2023 4.59;3,323
25/12/2023 5.59;2,744
25/12/2023 6.59;2,568
25/12/2023 7.59;3,455
25/12/2023 8.59;3,788
25/12/2023 9.59;3,865
25/12/2023 10.59;4,054
25/12/2023 11.59;4,098
25/12/2023 12.59;4,047
25/12/2023 13.59;3,983
25/12/2023 14.59;4,09
25/12/2023 15.59;4,189
25/12/2023 16.59;4,339
25/12/2023 17.59;4,809
25/12/2023 18.59;4,714
25/12/2023 19.59;4,35
25/12/2023 20.59;4,149
25/12/2023 21.59;4,231
25/12/2023 22.59;4,304
25/12/2023 23.59;4,161
26/12/2023 0.59;3,798
26/12/2023 1.59;3,481
26/12/2023 2.59;3,384
26/12/2023 3.59;3,53
26/12/2023 4.59;3,844
26/12/2023 5.59;4,156
26/12/2023 6.59;4,197
26/12/2023 7.59;4,545
26/12/2023 8.59;4,841
26/12/2023 9.59;6,145
26/12/2023 10.59;6,224
26/12/2023 11.59;6,195
26/12/2023 12.59;6,102
26/12/2023 13.59;5,644
26/12/2023 14.59;5,467
26/12/2023 15.59;5,313
26/12/2023 16.59;5,885
26/12/2023 17.59;6,557
26/12/2023 18.59;6,566
26/12/2023 19.59;6,128
26/12/2023 20.59;5,212
26/12/2023 21.59;5,054
26/12/2023 22.59;4,701
26/12/2023 23.59;4,216
27/12/2023 0.59;4,354
27/12/2023 1.59;3,856
27/12/2023 2.59;3,804
27/12/2023 3.59;3,842
27/12/2023 4.59;4,036
27/12/2023 5.59;4,871
27/12/2023 6.59;8,067
27/12/2023 7.59;8,571
27/12/2023 8.59;9,637
27/12/2023 9.59;9,653
27/12/2023 10.59;9,1
27/12/2023 11.59;8,995
27/12/2023 12.59;8,93
27/12/2023 13.59;8,773
27/12/2023 14.59;9,085
27/12/2023 15.59;9,842
27/12/2023 16.59;10,453
27/12/2023 17.59;10,376
27/12/2023 18.59;9,93
27/12/2023 19.59;9,296
27/12/2023 20.59;6,787
27/12/2023 21.59;4,96
27/12/2023 22.59;4,132
27/12/2023 23.59;3,9
28/12/2023 0.59;3,732
28/12/2023 1.59;3,699
28/12/2023 2.59;3,44
28/12/2023 3.59;3,143
28/12/2023 4.59;3,72
28/12/2023 5.59;5,217
28/12/2023 6.59;7,116
28/12/2023 7.59;10,453
28/12/2023 8.59;7,504
28/12/2023 9.59;5,585
28/12/2023 10.59;5,331
28/12/2023 11.59;4,96
28/12/2023 12.59;4,961
28/12/2023 13.59;5,228
28/12/2023 14.59;5,58
28/12/2023 15.59;8,707
28/12/2023 16.59;8,675
28/12/2023 17.59;8,536
28/12/2023 18.59;7,786
28/12/2023 19.59;6,658
28/12/2023 20.59;4,55
28/12/2023 21.59;4,169
28/12/2023 22.59;3,84
28/12/2023 23.59;3,195
29/12/2023 0.59;2,918
29/12/2023 1.59;2,583
29/12/2023 2.59;2,481
29/12/2023 3.59;2,337
29/12/2023 4.59;2,499
29/12/2023 5.59;2,602
29/12/2023 6.59;3,063
29/12/2023 7.59;3,891
29/12/2023 8.59;3,994
29/12/2023 9.59;3,984
29/12/2023 10.59;3,964
29/12/2023 11.59;4,054
29/12/2023 12.59;3,994
29/12/2023 13.59;3,814
29/12/2023 14.59;3,832
29/12/2023 15.59;3,801
29/12/2023 16.59;4,094
29/12/2023 17.59;4,448
29/12/2023 18.59;4,231
29/12/2023 19.59;3,814
29/12/2023 20.59;3,722
29/12/2023 21.59;3,488
29/12/2023 22.59;3,142
29/12/2023 23.59;2,399
30/12/2023 0.59;2,584
30/12/2023 1.59;2,476
30/12/2023 2.59;2,241
30/12/2023 3.59;2,247
30/12/2023 4.59;2,241
30/12/2023 5.59;2,499
30/12/2023 6.59;2,73
30/12/2023 7.59;3,136
30/12/2023 8.59;3,572
30/12/2023 9.59;4,431
30/12/2023 10.59;4,862
30/12/2023 11.59;4,915
30/12/2023 12.59;4,511
30/12/2023 13.59;4,123
30/12/2023 14.59;5,213
30/12/2023 15.59;6,975
30/12/2023 16.59;8,679
30/12/2023 17.59;9,91
30/12/2023 18.59;9,919
30/12/2023 19.59;8,815
30/12/2023 20.59;7,689
30/12/2023 21.59;6,837
30/12/2023 22.59;6,212
30/12/2023 23.59;5,361
31/12/2023 0.59;5,564
31/12/2023 1.59;5,046
31/12/2023 2.59;5,064
31/12/2023 3.59;4,955
31/12/2023 4.59;4,729
31/12/2023 5.59;4,869
31/12/2023 6.59;4,961
31/12/2023 7.59;5,465
31/12/2023 8.59;7,44
31/12/2023 9.59;9,073
31/12/2023 10.59;10,552
31/12/2023 11.59;10,552
31/12/2023 12.59;10,552
31/12/2023 13.59;11,353
31/12/2023 14.59;13,641
31/12/2023 15.59;14,571
31/12/2023 16.59;13,453
31/12/2023 17.59;12,27
31/12/2023 18.59;12,105
31/12/2023 19.59;7,439
31/12/2023 20.59;5,083
31/12/2023 21.59;6,675
31/12/2023 22.59;6,881
31/12/2023 23.59;4,961
01/01/2024 0.59;4,758
01/01/2024 1.59;3,529
01/01/2024 2.59;3,306
01/01/2024 3.59;3,036
01/01/2024 4.59;2,977
01/01/2024 5.59;2,633
01/01/2024 6.59;2,805
01/01/2024 7.59;3,105
01/01/2024 8.59;3,254
01/01/2024 9.59;3,994
01/01/2024 10.59;5,126
01/01/2024 11.59;5,395
01/01/2024 12.59;7,271
01/01/2024 13.59;7,581
01/01/2024 14.59;7,482
01/01/2024 15.59;9,617
01/01/2024 16.59;8,482
01/01/2024 17.59;9,196
01/01/2024 18.59;8,061
01/01/2024 19.59;6,933
01/01/2024 20.59;5,971
01/01/2024 21.59;8,053
01/01/2024 22.59;6,646
01/01/2024 23.59;5,455
02/01/2024 0.59;6,882
02/01/2024 1.59;6,193
02/01/2024 2.59;5,86
02/01/2024 3.59;6,634
02/01/2024 4.59;9,484
02/01/2024 5.59;22,326
02/01/2024 6.59;31,001
02/01/2024 7.59;59,902
02/01/2024 8.59;37,209
02/01/2024 9.59;31,001
02/01/2024 10.59;30,001
02/01/2024 11.59;19,774
02/01/2024 12.59;18,599
02/01/2024 13.59;18,599
02/01/2024 14.59;20,559
02/01/2024 15.59;31,002
02/01/2024 16.59;28,05
02/01/2024 17.59;24,416
02/01/2024 18.59;31,001
02/01/2024 19.59;24,417
02/01/2024 20.59;13,107
02/01/2024 21.59;18,54
02/01/2024 22.59;11,207
02/01/2024 23.59;10,75
03/01/2024 0.59;6,086
03/01/2024 1.59;7,038
03/01/2024 2.59;6,958
03/01/2024 3.59;7,187
03/01/2024 4.59;8,701
03/01/2024 5.59;10,751
03/01/2024 6.59;14,73
03/01/2024 7.59;16,307
03/01/2024 8.59;16,486
03/01/2024 9.59;15,972
03/01/2024 10.59;12,267
03/01/2024 11.59;16,109
03/01/2024 12.59;14,73
03/01/2024 13.59;12,034
03/01/2024 14.59;11,928
03/01/2024 15.59;14,758
03/01/2024 16.59;16,109
03/01/2024 17.59;18,305
03/01/2024 18.59;14,731
03/01/2024 19.59;12,291
03/01/2024 20.59;10,642
03/01/2024 21.59;12,394
03/01/2024 22.59;10,784
03/01/2024 23.59;7,242
04/01/2024 0.59;16,027
04/01/2024 1.59;13,186
04/01/2024 2.59;11,708
04/01/2024 3.59;12,126
04/01/2024 4.59;15,059
04/01/2024 5.59;22,346
04/01/2024 6.59;37,2
04/01/2024 7.59;47,027
04/01/2024 8.59;37,199
04/01/2024 9.59;37,2
04/01/2024 10.59;37,209
04/01/2024 11.59;37,2
04/01/2024 12.59;37,199
04/01/2024 13.59;36,726
04/01/2024 14.59;37,199
04/01/2024 15.59;44,905
04/01/2024 16.59;37,2
04/01/2024 17.59;37,199
04/01/2024 18.59;30,995
04/01/2024 19.59;25,261
04/01/2024 20.59;18,599
04/01/2024 21.59;18,6
04/01/2024 22.59;17,743
04/01/2024 23.59;13,778
05/01/2024 0.59;21,079
05/01/2024 1.59;18,609
05/01/2024 2.59;18,607
05/01/2024 3.59;18,609
05/01/2024 4.59;18,611
05/01/2024 5.59;43,4
05/01/2024 6.59;123,993
05/01/2024 7.59;183,385
05/01/2024 8.59;155,207
05/01/2024 9.59;124
05/01/2024 10.59;123,998
05/01/2024 11.59;99,2
05/01/2024 12.59;123,989
05/01/2024 13.59;111,483
05/01/2024 14.59;123,996
05/01/2024 15.59;210,342
05/01/2024 16.59;217,992
05/01/2024 17.59;183,39
05/01/2024 18.59;235,104
05/01/2024 19.59;217,496
05/01/2024 20.59;122,771
05/01/2024 21.59;92,994
05/01/2024 22.59;37,201
05/01/2024 23.59;24,8
06/01/2024 0.59;13,788
06/01/2024 1.59;14,134
06/01/2024 2.59;13,717
06/01/2024 3.59;14,075
06/01/2024 4.59;17,57
06/01/2024 5.59;19,449
06/01/2024 6.59;16,482
06/01/2024 7.59;18,321
06/01/2024 8.59;22,552
06/01/2024 9.59;22,816
06/01/2024 10.59;21,87
06/01/2024 11.59;21,924
06/01/2024 12.59;22,083
06/01/2024 13.59;20,006
06/01/2024 14.59;22,816
06/01/2024 15.59;24,8
06/01/2024 16.59;37,199
06/01/2024 17.59;30,312
06/01/2024 18.59;24,8
06/01/2024 19.59;22,293
06/01/2024 20.59;20,399
06/01/2024 21.59;21,845
06/01/2024 22.59;19,735
06/01/2024 23.59;14,974
07/01/2024 0.59;11,62
07/01/2024 1.59;15,958
07/01/2024 2.59;12,896
07/01/2024 3.59;11,557
07/01/2024 4.59;11,556
07/01/2024 5.59;11,556
07/01/2024 6.59;10,539
07/01/2024 7.59;12,014
07/01/2024 8.59;11,557
07/01/2024 9.59;14,675
07/01/2024 10.59;12,094
07/01/2024 11.59;11,556
07/01/2024 12.59;11,346
07/01/2024 13.59;10,852
07/01/2024 14.59;10,817
07/01/2024 15.59;11,239
07/01/2024 16.59;11,93
07/01/2024 17.59;12,929
07/01/2024 18.59;13,155
07/01/2024 19.59;12,84
07/01/2024 20.59;10,895
07/01/2024 21.59;11,57
07/01/2024 22.59;10,716
07/01/2024 23.59;7,77
08/01/2024 0.59;9,913
08/01/2024 1.59;10,092
08/01/2024 2.59;10,146
08/01/2024 3.59;9,81
08/01/2024 4.59;9,732
08/01/2024 5.59;10,18
08/01/2024 6.59;11,693
08/01/2024 7.59;13,791
08/01/2024 8.59;15,018
08/01/2024 9.59;14,971
08/01/2024 10.59;14,124
08/01/2024 11.59;17,242
08/01/2024 12.59;19,97
08/01/2024 13.59;17,101
08/01/2024 14.59;20,733
08/01/2024 15.59;20,152
08/01/2024 16.59;16,111
08/01/2024 17.59;16,406
08/01/2024 18.59;16,121
08/01/2024 19.59;15,143
08/01/2024 20.59;14,162
08/01/2024 21.59;12,381
08/01/2024 22.59;10,106
08/01/2024 23.59;6,199
09/01/2024 0.59;3,436
09/01/2024 1.59;3,315
09/01/2024 2.59;3,265
09/01/2024 3.59;3,257
09/01/2024 4.59;3,333
09/01/2024 5.59;4,712
09/01/2024 6.59;8,628
09/01/2024 7.59;10,009
09/01/2024 8.59;9,353
09/01/2024 9.59;9,238
09/01/2024 10.59;10,076
09/01/2024 11.59;9,267
09/01/2024 12.59;8,854
09/01/2024 13.59;9,816
09/01/2024 14.59;10,525
09/01/2024 15.59;11,174
09/01/2024 16.59;9,676
09/01/2024 17.59;11,779
09/01/2024 18.59;16,558
09/01/2024 19.59;15,671
09/01/2024 20.59;14,447
09/01/2024 21.59;12,395
09/01/2024 22.59;11,158
09/01/2024 23.59;6,314
10/01/2024 0.59;4,711
10/01/2024 1.59;4,29
10/01/2024 2.59;3,471
10/01/2024 3.59;3,398
10/01/2024 4.59;3,982
10/01/2024 5.59;9,92
10/01/2024 6.59;10,26
10/01/2024 7.59;12,014
10/01/2024 8.59;12,404
10/01/2024 9.59;9,918
10/01/2024 10.59;6,209
10/01/2024 11.59;4,576
10/01/2024 12.59;4,09
10/01/2024 13.59;3,447
10/01/2024 14.59;3,401
10/01/2024 15.59;3,332
10/01/2024 16.59;3,264
10/01/2024 17.59;3,291
10/01/2024 18.59;3,217
10/01/2024 19.59;3,148
10/01/2024 20.59;3,111
10/01/2024 21.59;3,14
10/01/2024 22.59;3,029
10/01/2024 23.59;2,666
11/01/2024 0.59;2,615
11/01/2024 1.59;2,709
11/01/2024 2.59;3,024
11/01/2024 3.59;3,349
11/01/2024 4.59;3,567
11/01/2024 5.59;4,261
11/01/2024 6.59;5,201
11/01/2024 7.59;6,635
11/01/2024 8.59;8,603
11/01/2024 9.59;11,107
11/01/2024 10.59;13,641
11/01/2024 11.59;12,808
11/01/2024 12.59;11,941
11/01/2024 13.59;12,276
11/01/2024 14.59;13,142
11/01/2024 15.59;15,388
11/01/2024 16.59;17,591
11/01/2024 17.59;19,22
11/01/2024 18.59;24,8
11/01/2024 19.59;18,035
11/01/2024 20.59;15,315
11/01/2024 21.59;13,417
11/01/2024 22.59;12,4
11/01/2024 23.59;12,024
12/01/2024 0.59;11,277
12/01/2024 1.59;10,928
12/01/2024 2.59;10,701
12/01/2024 3.59;10,769
12/01/2024 4.59;11,438
12/01/2024 5.59;12,823
12/01/2024 6.59;15,438
12/01/2024 7.59;17,007
12/01/2024 8.59;17,452
12/01/2024 9.59;16,735
12/01/2024 10.59;18,604
12/01/2024 11.59;16,924
12/01/2024 12.59;15,447
12/01/2024 13.59;15,416
12/01/2024 14.59;18,663
12/01/2024 15.59;25,172
12/01/2024 16.59;37,078
12/01/2024 17.59;24,801
12/01/2024 18.59;19,22
12/01/2024 19.59;15,232
12/01/2024 20.59;13,5
12/01/2024 21.59;12,234
12/01/2024 22.59;11,603
12/01/2024 23.59;9,932
13/01/2024 0.59;6,162
13/01/2024 1.59;5,782
13/01/2024 2.59;5,456
13/01/2024 3.59;5,266
13/01/2024 4.59;5,275
13/01/2024 5.59;5,398
13/01/2024 6.59;5,657
13/01/2024 7.59;6,349
13/01/2024 8.59;7,183
13/01/2024 9.59;7,337
13/01/2024 10.59;7,342
13/01/2024 11.59;7,238
13/01/2024 12.59;6,969
13/01/2024 13.59;6,989
13/01/2024 14.59;7,337
13/01/2024 15.59;8,508
13/01/2024 16.59;8,777
13/01/2024 17.59;9,203
13/01/2024 18.59;9,4
13/01/2024 19.59;9,154
13/01/2024 20.59;9,059
13/01/2024 21.59;9,944
13/01/2024 22.59;8,351
13/01/2024 23.59;7,645
14/01/2024 0.59;7,938
14/01/2024 1.59;7,702
14/01/2024 2.59;7,803
14/01/2024 3.59;8,045
14/01/2024 4.59;8,107
14/01/2024 5.59;8,085
14/01/2024 6.59;8,385
14/01/2024 7.59;8,929
14/01/2024 8.59;9,522
14/01/2024 9.59;10,091
14/01/2024 10.59;10,085
14/01/2024 11.59;10,266
14/01/2024 12.59;9,968
14/01/2024 13.59;9,553
14/01/2024 14.59;9,815
14/01/2024 15.59;10,208
14/01/2024 16.59;10,741
14/01/2024 17.59;11,391
14/01/2024 18.59;11,735
14/01/2024 19.59;10,572
14/01/2024 20.59;9,803
14/01/2024 21.59;9,723
14/01/2024 22.59;9,259
14/01/2024 23.59;8,294
15/01/2024 0.59;8,637
15/01/2024 1.59;8,19
15/01/2024 2.59;7,974
15/01/2024 3.59;7,693
15/01/2024 4.59;7,883
15/01/2024 5.59;8,751
15/01/2024 6.59;10,638
15/01/2024 7.59;14,076
15/01/2024 8.59;13,769
15/01/2024 9.59;15,879
15/01/2024 10.59;12,634
15/01/2024 11.59;15,998
15/01/2024 12.59;16,006
15/01/2024 13.59;16,006
15/01/2024 14.59;15,349
15/01/2024 15.59;13,427
15/01/2024 16.59;13,642
15/01/2024 17.59;13,526
15/01/2024 18.59;14,331
15/01/2024 19.59;13,722
15/01/2024 20.59;12,791
15/01/2024 21.59;11,526
15/01/2024 22.59;11,097
15/01/2024 23.59;10,717
16/01/2024 0.59;10,192
16/01/2024 1.59;10,094
16/01/2024 2.59;9,929
16/01/2024 3.59;9,704
16/01/2024 4.59;9,621
16/01/2024 5.59;10,348
16/01/2024 6.59;15,252
16/01/2024 7.59;23,984
16/01/2024 8.59;34,173
16/01/2024 9.59;33,549
16/01/2024 10.59;30,991
16/01/2024 11.59;24,868
16/01/2024 12.59;21,085
16/01/2024 13.59;17,604
16/01/2024 14.59;17,804
16/01/2024 15.59;19,364
16/01/2024 16.59;21,09
16/01/2024 17.59;21,18
16/01/2024 18.59;20,4
16/01/2024 19.59;18,032
16/01/2024 20.59;18,787
16/01/2024 21.59;16,299
16/01/2024 22.59;15,021
16/01/2024 23.59;12,701
17/01/2024 0.59;11,858
17/01/2024 1.59;10,448
17/01/2024 2.59;10,18
17/01/2024 3.59;10,179
17/01/2024 4.59;11,167
17/01/2024 5.59;16,688
17/01/2024 6.59;18,6
17/01/2024 7.59;18,317
17/01/2024 8.59;15,13
17/01/2024 9.59;13,093
17/01/2024 10.59;13,681
17/01/2024 11.59;13,776
17/01/2024 12.59;14,445
17/01/2024 13.59;14,868
17/01/2024 14.59;14,628
17/01/2024 15.59;15,106
17/01/2024 16.59;15,48
17/01/2024 17.59;16,919
17/01/2024 18.59;14,881
17/01/2024 19.59;13,759
17/01/2024 20.59;13,22
17/01/2024 21.59;12,091
17/01/2024 22.59;11,329
17/01/2024 23.59;8,432
18/01/2024 0.59;5,948
18/01/2024 1.59;6,108
18/01/2024 2.59;5,772
18/01/2024 3.59;5,574
18/01/2024 4.59;5,793
18/01/2024 5.59;7,555
18/01/2024 6.59;9,448
18/01/2024 7.59;12,088
18/01/2024 8.59;13,408
18/01/2024 9.59;12,287
18/01/2024 10.59;13,752
18/01/2024 11.59;13,386
18/01/2024 12.59;11,6
18/01/2024 13.59;10,865
18/01/2024 14.59;10,717
18/01/2024 15.59;11,687
18/01/2024 16.59;12,34
18/01/2024 17.59;12,98
18/01/2024 18.59;12,804
18/01/2024 19.59;11,722
18/01/2024 20.59;10,784
18/01/2024 21.59;10,06
18/01/2024 22.59;9,601
18/01/2024 23.59;8,845
19/01/2024 0.59;8,482
19/01/2024 1.59;8,102
19/01/2024 2.59;7,942
19/01/2024 3.59;7,782
19/01/2024 4.59;7,852
19/01/2024 5.59;8,165
19/01/2024 6.59;9,392
19/01/2024 7.59;12,386
19/01/2024 8.59;12,929
19/01/2024 9.59;12,809
19/01/2024 10.59;11,885
19/01/2024 11.59;10,733
19/01/2024 12.59;9,761
19/01/2024 13.59;9,319
19/01/2024 14.59;9,537
19/01/2024 15.59;11,232
19/01/2024 16.59;12,97
19/01/2024 17.59;14,231
19/01/2024 18.59;13,453
19/01/2024 19.59;13,15
19/01/2024 20.59;11,379
19/01/2024 21.59;9,918
19/01/2024 22.59;9,296
19/01/2024 23.59;8,27
20/01/2024 0.59;8,385
20/01/2024 1.59;8,061
20/01/2024 2.59;8,072
20/01/2024 3.59;7,854
20/01/2024 4.59;7,858
20/01/2024 5.59;8,545
20/01/2024 6.59;9,212
20/01/2024 7.59;10,353
20/01/2024 8.59;11,888
20/01/2024 9.59;12,364
20/01/2024 10.59;12,383
20/01/2024 11.59;11,888
20/01/2024 12.59;11,889
20/01/2024 13.59;11,88
20/01/2024 14.59;11,284
20/01/2024 15.59;11,889
20/01/2024 16.59;12,649
20/01/2024 17.59;12,078
20/01/2024 18.59;12,538
20/01/2024 19.59;11,355
20/01/2024 20.59;9,92
20/01/2024 21.59;9,1
20/01/2024 22.59;8,732
20/01/2024 23.59;8,307
21/01/2024 0.59;4,313
21/01/2024 1.59;4,307
21/01/2024 2.59;4,295
21/01/2024 3.59;4,266
21/01/2024 4.59;4,251
21/01/2024 5.59;4,292
21/01/2024 6.59;4,253
21/01/2024 7.59;4,338
21/01/2024 8.59;4,319
21/01/2024 9.59;4,412
21/01/2024 10.59;4,573
21/01/2024 11.59;4,687
21/01/2024 12.59;4,626
21/01/2024 13.59;4,561
21/01/2024 14.59;4,593
21/01/2024 15.59;4,654
21/01/2024 16.59;4,639
21/01/2024 17.59;4,454
21/01/2024 18.59;4,406
21/01/2024 19.59;4,335
21/01/2024 20.59;4,299
21/01/2024 21.59;4,284
21/01/2024 22.59;4,319
21/01/2024 23.59;3,6
22/01/2024 0.59;3,385
22/01/2024 1.59;2,758
22/01/2024 2.59;2,309
22/01/2024 3.59;0,625
22/01/2024 4.59;0,627
22/01/2024 5.59;2,48
22/01/2024 6.59;3,23
22/01/2024 7.59;4,117
22/01/2024 8.59;4,102
22/01/2024 9.59;4,076
22/01/2024 10.59;3,93
22/01/2024 11.59;3,828
22/01/2024 12.59;3,794
22/01/2024 13.59;3,632
22/01/2024 14.59;3,544
22/01/2024 15.59;3,76
22/01/2024 16.59;3,921
22/01/2024 17.59;4,073
22/01/2024 18.59;4,023
22/01/2024 19.59;3,937
22/01/2024 20.59;3,895
22/01/2024 21.59;3,576
22/01/2024 22.59;3,233
22/01/2024 23.59;2,856
23/01/2024 0.59;1,964
23/01/2024 1.59;1,223
23/01/2024 2.59;1,133
23/01/2024 3.59;0,517
23/01/2024 4.59;1,267
23/01/2024 5.59;2,682
23/01/2024 6.59;3,191
23/01/2024 7.59;3,644
23/01/2024 8.59;4,169
23/01/2024 9.59;3,822
23/01/2024 10.59;3,71
23/01/2024 11.59;3,431
23/01/2024 12.59;3,296
23/01/2024 13.59;3,318
23/01/2024 14.59;3,315
23/01/2024 15.59;3,596
23/01/2024 16.59;8,054
23/01/2024 17.59;8,489
23/01/2024 18.59;8,281
23/01/2024 19.59;7,854
23/01/2024 20.59;7,497
23/01/2024 21.59;6,504
23/01/2024 22.59;5,062
23/01/2024 23.59;4,124
24/01/2024 0.59;5,21
24/01/2024 1.59;4,93
24/01/2024 2.59;6,201
24/01/2024 3.59;6,066
24/01/2024 4.59;6,894
24/01/2024 5.59;9,926
24/01/2024 6.59;11,455
24/01/2024 7.59;11,689
24/01/2024 8.59;11,437
24/01/2024 9.59;11,688
24/01/2024 10.59;11,537
24/01/2024 11.59;11,499
24/01/2024 12.59;11,686
24/01/2024 13.59;11,422
24/01/2024 14.59;10,092
24/01/2024 15.59;11,004
24/01/2024 16.59;11,466
24/01/2024 17.59;11,372
24/01/2024 18.59;10,779
24/01/2024 19.59;9,9
24/01/2024 20.59;8,059
24/01/2024 21.59;7,869
24/01/2024 22.59;5,56
24/01/2024 23.59;4,778
25/01/2024 0.59;5,436
25/01/2024 1.59;5,452
25/01/2024 2.59;5,302
25/01/2024 3.59;5,437
25/01/2024 4.59;5,594
25/01/2024 5.59;6,325
25/01/2024 6.59;9,218
25/01/2024 7.59;9,335
25/01/2024 8.59;11,038
25/01/2024 9.59;10,571
25/01/2024 10.59;10,378
25/01/2024 11.59;9,754
25/01/2024 12.59;10,596
25/01/2024 13.59;10,265
25/01/2024 14.59;10,622
25/01/2024 15.59;11,417
25/01/2024 16.59;12,571
25/01/2024 17.59;15,171
25/01/2024 18.59;14,173
25/01/2024 19.59;12,25
25/01/2024 20.59;11,293
25/01/2024 21.59;10,926
25/01/2024 22.59;9,922
25/01/2024 23.59;9,32
26/01/2024 0.59;9,919
26/01/2024 1.59;9,832
26/01/2024 2.59;9,801
26/01/2024 3.59;9,918
26/01/2024 4.59;11,702
26/01/2024 5.59;14,377
26/01/2024 6.59;16,698
26/01/2024 7.59;18,089
26/01/2024 8.59;17,547
26/01/2024 9.59;16,844
26/01/2024 10.59;14,136
26/01/2024 11.59;15,326
26/01/2024 12.59;14,995
26/01/2024 13.59;6,534
26/01/2024 14.59;6,111
26/01/2024 15.59;6,065
26/01/2024 16.59;6,384
26/01/2024 17.59;7,114
26/01/2024 18.59;6,72
26/01/2024 19.59;4,155
26/01/2024 20.59;3,42
26/01/2024 21.59;3,194
26/01/2024 22.59;3,024
26/01/2024 23.59;2,726
27/01/2024 0.59;2,396
27/01/2024 1.59;2,264
27/01/2024 2.59;2,186
27/01/2024 3.59;2,234
27/01/2024 4.59;2,293
27/01/2024 5.59;2,336
27/01/2024 6.59;2,407
27/01/2024 7.59;2,568
27/01/2024 8.59;2,604
27/01/2024 9.59;2,608
27/01/2024 10.59;2,62
27/01/2024 11.59;2,606
27/01/2024 12.59;2,546
27/01/2024 13.59;2,49
27/01/2024 14.59;2,484
27/01/2024 15.59;2,501
27/01/2024 16.59;2,521
27/01/2024 17.59;2,563
27/01/2024 18.59;2,531
27/01/2024 19.59;2,309
27/01/2024 20.59;1,876
27/01/2024 21.59;1,257
27/01/2024 22.59;0,432
27/01/2024 23.59;0,342
28/01/2024 0.59;0,001
28/01/2024 1.59;0,325
28/01/2024 2.59;0,432
28/01/2024 3.59;1,424
28/01/2024 4.59;1,866
28/01/2024 5.59;2,026
28/01/2024 6.59;2,259
28/01/2024 7.59;2,326
28/01/2024 8.59;2,3
28/01/2024 9.59;2,314
28/01/2024 10.59;2,311
28/01/2024 11.59;2,323
28/01/2024 12.59;2,293
28/01/2024 13.59;2,238
28/01/2024 14.59;2,097
28/01/2024 15.59;2,221
28/01/2024 16.59;2,284
28/01/2024 17.59;2,264
28/01/2024 18.59;2,252
28/01/2024 19.59;1,241
28/01/2024 20.59;0,001
28/01/2024 21.59;0,001
28/01/2024 22.59;-0,001
28/01/2024 23.59;-0,031
29/01/2024 0.59;-0,042
29/01/2024 1.59;-0,172
29/01/2024 2.59;-0,178
29/01/2024 3.59;-0,177
29/01/2024 4.59;-0,141
29/01/2024 5.59;-0,011
29/01/2024 6.59;0,733
29/01/2024 7.59;2,377
29/01/2024 8.59;2,549
29/01/2024 9.59;2,697
29/01/2024 10.59;2,646
29/01/2024 11.59;2,614
29/01/2024 12.59;2,484
29/01/2024 13.59;2,463
29/01/2024 14.59;2,42
29/01/2024 15.59;2,42
29/01/2024 16.59;2,433
29/01/2024 17.59;2,464
29/01/2024 18.59;2,429
29/01/2024 19.59;2,439
29/01/2024 20.59;1,545
29/01/2024 21.59;2,202
29/01/2024 22.59;1,302
29/01/2024 23.59;0,078
30/01/2024 0.59;0,001
30/01/2024 1.59;0
30/01/2024 2.59;0
30/01/2024 3.59;0,001
30/01/2024 4.59;2,046
30/01/2024 5.59;2,507
30/01/2024 6.59;2,737
30/01/2024 7.59;2,904
30/01/2024 8.59;2,988
30/01/2024 9.59;3,003
30/01/2024 10.59;2,99
30/01/2024 11.59;3,021
30/01/2024 12.59;3,022
30/01/2024 13.59;3,032
30/01/2024 14.59;3,003
30/01/2024 15.59;3,012
30/01/2024 16.59;3,017
30/01/2024 17.59;2,974
30/01/2024 18.59;2,938
30/01/2024 19.59;2,864
30/01/2024 20.59;2,786
30/01/2024 21.59;2,84
30/01/2024 22.59;2,797
30/01/2024 23.59;2,572
31/01/2024 0.59;2,28
31/01/2024 1.59;2,289
31/01/2024 2.59;2,294
31/01/2024 3.59;2,304
31/01/2024 4.59;2,351
31/01/2024 5.59;2,404
31/01/2024 6.59;2,713
31/01/2024 7.59;6,542
31/01/2024 8.59;4,96
31/01/2024 9.59;2,755
31/01/2024 10.59;2,531
31/01/2024 11.59;2,371
31/01/2024 12.59;2,299
31/01/2024 13.59;2,203
31/01/2024 14.59;2,108
31/01/2024 15.59;2,022
31/01/2024 16.59;2,102
31/01/2024 17.59;2,067
31/01/2024 18.59;1,287
31/01/2024 19.59;0,43
31/01/2024 20.59;0
31/01/2024 21.59;-0,007
31/01/2024 22.59;-0,089
31/01/2024 23.59;-0,202
01/02/2024 0.59;-0,207
