Time;Price (cent/kWh)
07/10/2023 18.59;0,148
07/10/2023 19.59;0,087
07/10/2023 20.59;0
07/10/2023 21.59;-0,009
07/10/2023 22.59;-0,103
07/10/2023 23.59;-0,196
08/10/2023 0.59;-0,168
08/10/2023 1.59;-0,199
08/10/2023 2.59;-0,204
08/10/2023 3.59;-0,207
08/10/2023 4.59;-0,205
08/10/2023 5.59;-0,18
08/10/2023 6.59;-0,11
08/10/2023 7.59;-0,004
08/10/2023 8.59;0,063
08/10/2023 9.59;0,162
08/10/2023 10.59;0,169
08/10/2023 11.59;0,161
08/10/2023 12.59;0,164
08/10/2023 13.59;0,167
08/10/2023 14.59;0,203
08/10/2023 15.59;0,31
08/10/2023 16.59;0,413
08/10/2023 17.59;0,615
08/10/2023 18.59;0,956
08/10/2023 19.59;1,409
08/10/2023 20.59;1,135
08/10/2023 21.59;0,897
08/10/2023 22.59;0,75
08/10/2023 23.59;0,619
09/10/2023 0.59;0,587
09/10/2023 1.59;0,466
09/10/2023 2.59;0,484
09/10/2023 3.59;0,52
09/10/2023 4.59;0,615
09/10/2023 5.59;0,932
09/10/2023 6.59;6,607
09/10/2023 7.59;13,863
09/10/2023 8.59;15,737
09/10/2023 9.59;15,057
09/10/2023 10.59;13,837
09/10/2023 11.59;13,065
09/10/2023 12.59;12,275
09/10/2023 13.59;12,176
09/10/2023 14.59;12,768
09/10/2023 15.59;13,303
09/10/2023 16.59;13,678
09/10/2023 17.59;16,036
09/10/2023 18.59;23,463
09/10/2023 19.59;27,491
09/10/2023 20.59;22,329
09/10/2023 21.59;16,067
09/10/2023 22.59;6,459
09/10/2023 23.59;1,309
10/10/2023 0.59;3,502
10/10/2023 1.59;1,095
10/10/2023 2.59;1,021
10/10/2023 3.59;1,066
10/10/2023 4.59;2,125
10/10/2023 5.59;6,217
10/10/2023 6.59;15,733
10/10/2023 7.59;25,038
10/10/2023 8.59;24,63
10/10/2023 9.59;17,598
10/10/2023 10.59;14,518
10/10/2023 11.59;13,437
10/10/2023 12.59;12,441
10/10/2023 13.59;11,949
10/10/2023 14.59;12,685
10/10/2023 15.59;15,401
10/10/2023 16.59;6,294
10/10/2023 17.59;5,299
10/10/2023 18.59;3,271
10/10/2023 19.59;0,61
10/10/2023 20.59;0,254
10/10/2023 21.59;0,001
10/10/2023 22.59;-0,174
10/10/2023 23.59;-0,308
11/10/2023 0.59;-0,454
11/10/2023 1.59;-0,498
11/10/2023 2.59;-0,509
11/10/2023 3.59;-0,515
11/10/2023 4.59;-0,486
11/10/2023 5.59;-0,345
11/10/2023 6.59;-0,11
11/10/2023 7.59;0,001
11/10/2023 8.59;0,198
11/10/2023 9.59;0,259
11/10/2023 10.59;0,308
11/10/2023 11.59;0,13
11/10/2023 12.59;0
11/10/2023 13.59;-0,006
11/10/2023 14.59;-0,004
11/10/2023 15.59;0,007
11/10/2023 16.59;0,145
11/10/2023 17.59;0,164
11/10/2023 18.59;0,108
11/10/2023 19.59;0
11/10/2023 20.59;-0,096
11/10/2023 21.59;-0,203
11/10/2023 22.59;-0,321
11/10/2023 23.59;-0,508
12/10/2023 0.59;-0,76
12/10/2023 1.59;-1
12/10/2023 2.59;-1,008
12/10/2023 3.59;-1,039
12/10/2023 4.59;-1,003
12/10/2023 5.59;-0,441
12/10/2023 6.59;-0,217
12/10/2023 7.59;-0,036
12/10/2023 8.59;0
12/10/2023 9.59;0
12/10/2023 10.59;-0,011
12/10/2023 11.59;-0,11
12/10/2023 12.59;-0,194
12/10/2023 13.59;-0,209
12/10/2023 14.59;-0,209
12/10/2023 15.59;-0,207
12/10/2023 16.59;-0,203
12/10/2023 17.59;-0,11
12/10/2023 18.59;-0,011
12/10/2023 19.59;-0,01
12/10/2023 20.59;-0,076
12/10/2023 21.59;-0,107
12/10/2023 22.59;-0,167
12/10/2023 23.59;-0,207
13/10/2023 0.59;-0,208
13/10/2023 1.59;-0,203
13/10/2023 2.59;-0,125
13/10/2023 3.59;-0,019
13/10/2023 4.59;0,066
13/10/2023 5.59;0,367
13/10/2023 6.59;0,766
13/10/2023 7.59;5,891
13/10/2023 8.59;6,343
13/10/2023 9.59;6,021
13/10/2023 10.59;5,716
13/10/2023 11.59;4,246
13/10/2023 12.59;1,23
13/10/2023 13.59;0,884
13/10/2023 14.59;0,548
13/10/2023 15.59;0,526
13/10/2023 16.59;0,528
13/10/2023 17.59;0,446
13/10/2023 18.59;0,489
13/10/2023 19.59;0,335
13/10/2023 20.59;0,135
13/10/2023 21.59;-0,01
13/10/2023 22.59;-0,201
13/10/2023 23.59;-0,298
14/10/2023 0.59;-0,125
14/10/2023 1.59;-0,206
14/10/2023 2.59;-0,277
14/10/2023 3.59;-0,343
14/10/2023 4.59;-0,395
14/10/2023 5.59;-0,437
14/10/2023 6.59;-0,302
14/10/2023 7.59;-0,26
14/10/2023 8.59;-0,203
14/10/2023 9.59;-0,203
14/10/2023 10.59;-0,219
14/10/2023 11.59;-0,219
14/10/2023 12.59;-0,26
14/10/2023 13.59;-0,262
14/10/2023 14.59;-0,211
14/10/2023 15.59;-0,125
14/10/2023 16.59;-0,102
14/10/2023 17.59;0
14/10/2023 18.59;0,001
14/10/2023 19.59;0
14/10/2023 20.59;-0,107
14/10/2023 21.59;-0,127
14/10/2023 22.59;-0,224
14/10/2023 23.59;-0,308
15/10/2023 0.59;-0,437
15/10/2023 1.59;-0,44
15/10/2023 2.59;-0,443
15/10/2023 3.59;-0,435
15/10/2023 4.59;-0,433
15/10/2023 5.59;-0,397
15/10/2023 6.59;-0,332
15/10/2023 7.59;-0,301
15/10/2023 8.59;-0,261
15/10/2023 9.59;-0,303
15/10/2023 10.59;-0,301
15/10/2023 11.59;-0,304
15/10/2023 12.59;-0,307
15/10/2023 13.59;-0,306
15/10/2023 14.59;-0,261
15/10/2023 15.59;-0,21
15/10/2023 16.59;-0,112
15/10/2023 17.59;-0,003
15/10/2023 18.59;0
15/10/2023 19.59;-0,001
15/10/2023 20.59;-0,046
15/10/2023 21.59;-0,11
15/10/2023 22.59;-0,126
15/10/2023 23.59;-0,207
16/10/2023 0.59;-0,205
16/10/2023 1.59;-0,207
16/10/2023 2.59;-0,209
16/10/2023 3.59;-0,208
16/10/2023 4.59;-0,202
16/10/2023 5.59;-0,11
16/10/2023 6.59;0,017
16/10/2023 7.59;0,134
16/10/2023 8.59;0,187
16/10/2023 9.59;0,229
16/10/2023 10.59;0,252
16/10/2023 11.59;0,279
16/10/2023 12.59;0,279
16/10/2023 13.59;0,281
16/10/2023 14.59;0,301
16/10/2023 15.59;0,317
16/10/2023 16.59;0,304
16/10/2023 17.59;0,362
16/10/2023 18.59;7,097
16/10/2023 19.59;3,042
16/10/2023 20.59;0,378
16/10/2023 21.59;0,389
16/10/2023 22.59;0,37
16/10/2023 23.59;0,337
17/10/2023 0.59;0,435
17/10/2023 1.59;0,453
17/10/2023 2.59;0,489
17/10/2023 3.59;0,616
17/10/2023 4.59;0,889
17/10/2023 5.59;1,524
17/10/2023 6.59;19,376
17/10/2023 7.59;21,874
17/10/2023 8.59;23,7
17/10/2023 9.59;19,73
17/10/2023 10.59;16,688
17/10/2023 11.59;13,815
17/10/2023 12.59;13,274
17/10/2023 13.59;12,768
17/10/2023 14.59;13,856
17/10/2023 15.59;15,152
17/10/2023 16.59;19,262
17/10/2023 17.59;21,612
17/10/2023 18.59;21,892
17/10/2023 19.59;21,598
17/10/2023 20.59;13,641
17/10/2023 21.59;16,124
17/10/2023 22.59;1,983
17/10/2023 23.59;1,064
18/10/2023 0.59;0,915
18/10/2023 1.59;0,901
18/10/2023 2.59;0,877
18/10/2023 3.59;0,9
18/10/2023 4.59;0,992
18/10/2023 5.59;1,114
18/10/2023 6.59;5,839
18/10/2023 7.59;8,864
18/10/2023 8.59;19,446
18/10/2023 9.59;14,342
18/10/2023 10.59;10,488
18/10/2023 11.59;8,16
18/10/2023 12.59;7,714
18/10/2023 13.59;7,643
18/10/2023 14.59;7,372
18/10/2023 15.59;1,622
18/10/2023 16.59;1,459
18/10/2023 17.59;1,234
18/10/2023 18.59;1,218
18/10/2023 19.59;1,182
18/10/2023 20.59;1,145
18/10/2023 21.59;1,133
18/10/2023 22.59;1,06
18/10/2023 23.59;0,844
19/10/2023 0.59;0,501
19/10/2023 1.59;0,361
19/10/2023 2.59;0,305
19/10/2023 3.59;0,238
19/10/2023 4.59;0,304
19/10/2023 5.59;0,522
19/10/2023 6.59;1,016
19/10/2023 7.59;1,489
19/10/2023 8.59;2,354
19/10/2023 9.59;2,346
19/10/2023 10.59;1,865
19/10/2023 11.59;1,308
19/10/2023 12.59;1,22
19/10/2023 13.59;1,177
19/10/2023 14.59;1,138
19/10/2023 15.59;1,109
19/10/2023 16.59;1,064
19/10/2023 17.59;1,127
19/10/2023 18.59;1,097
19/10/2023 19.59;1,063
19/10/2023 20.59;0,967
19/10/2023 21.59;0,931
19/10/2023 22.59;0,75
19/10/2023 23.59;0,527
20/10/2023 0.59;0,799
20/10/2023 1.59;0,773
20/10/2023 2.59;0,746
20/10/2023 3.59;0,703
20/10/2023 4.59;0,671
20/10/2023 5.59;1,042
20/10/2023 6.59;4,155
20/10/2023 7.59;2,345
20/10/2023 8.59;2,966
20/10/2023 9.59;3,374
20/10/2023 10.59;5,904
20/10/2023 11.59;3,931
20/10/2023 12.59;3,721
20/10/2023 13.59;3,261
20/10/2023 14.59;3,844
20/10/2023 15.59;2,592
20/10/2023 16.59;1,983
20/10/2023 17.59;1,984
20/10/2023 18.59;2,481
20/10/2023 19.59;1,197
20/10/2023 20.59;1,104
20/10/2023 21.59;1,06
20/10/2023 22.59;0,91
20/10/2023 23.59;0,742
21/10/2023 0.59;0,9
21/10/2023 1.59;0,786
21/10/2023 2.59;0,658
21/10/2023 3.59;0,625
21/10/2023 4.59;0,64
21/10/2023 5.59;0,733
21/10/2023 6.59;0,853
21/10/2023 7.59;1,056
21/10/2023 8.59;1,153
21/10/2023 9.59;1,239
21/10/2023 10.59;1,235
21/10/2023 11.59;1,209
21/10/2023 12.59;1,208
21/10/2023 13.59;1,24
21/10/2023 14.59;1,638
21/10/2023 15.59;3,307
21/10/2023 16.59;3,099
21/10/2023 17.59;3,348
